"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"Switch_Toggle_SPDT_Mini_SolderLug_Circle";1;"OSCILLATOR SELECT";;;
2;"SW1";"Switch_Toggle_SPST_Mini_SolderLug_2legs_Circle";1;"POWER";;;
3;"LOGO1";"Logo_Open-3";1;"Open";;;
4;"LOGO3";"Logo_OSH-3";1;"OSH";;;
5;"LOGO2";"Logo_S1-2";1;"S1";;;
6;"SW3";"Button_Bigger";1;"BUTTON";;;
7;"J1";"9v_Bigger";1;"9v";;;
8;"U2";"BREAKOUT";1;"7414";;;
9;"J2";"Jack_Instrument_Bigger";1;"INPUT";;;
10;"J3";"Jack_Instrument_Bigger";1;"OUTPUT";;;
11;"R11,R8,R7,R6,R5,R2,R1,R9";"Resistor_TH_300";8;"1k";;;
12;"U1";"DIP_8pin_TL082_TH_CenteredNotOnPin1";1;"LM358";;;
13;"BreadBoardStrip1";"BREAKOUTswitch";1;"Path to Switch";;;
14;"LED1";"LED_D5.0mm";1;"ON!";;;
15;"LED2";"LED_D5.0mm";1;"SIGNAL";;;
16;"C5";"Cap_Ceramic_TH";1;"100nf";;;
17;"C1,C3";"Cap_Electrolytic_TH";2;"10uF";;;
18;"C2,C4";"Cap_Electrolytic_TH";2;"1uF";;;
19;"D2";"Diode_BAT-85S_TH";1;"4148";;;
20;"D1";"Diode_BAT-85S_TH";1;"4002";;;
21;"R4";"Resistor_TH_300";1;"100k";;;
22;"R3";"Resistor_TH_300";1;"10k";;;
23;"U3";"TO-92_Molded_Narrow";1;"78L05";;;
24;"DECAY1";"POT-9MM-ALPHA";1;"A1M";;;
25;"PITCH1";"POT-9MM-ALPHA";1;"B50k";;;
26;"SENSITIVITY1";"POT-9MM-ALPHA";1;"B100k";;;
27;"LOGO5";"Logo_MNT-2";1;"MNT";;;
28;"LOGO4";"Logo_OSC-1";1;"OSC";;;
